id	isolate	aliases	country	year	serotype	Sp_cgc_1000
1009	OXC246	1994	UK [England]	2001	15B/C	
1010	OXC275		UK [England]	1994	9V	
1011	OXC118	203/8	UK [England]	2000	9V	
1012	OXC217	22A/1	UK [England]	1994	6B	
1013	INV1109	1109	UK [England]	1998	6A	
1014	OXC290	147A/1	UK [England]	1994	6A	
1015	OXC226	29A/1	UK [England]	1994	6A	
1016	OXC262	95A/2	UK [England]	1994	6A	
1017	OXC109	144/6	UK [England]	2000	19F	
1018	OXC204	94-22.6B	UK [England]	2000	6B	
1019	OXC99	77/6	UK [England]	2000	19F	
1020	OXC230	32A/1	UK [England]	2000	15B/C	
1021	IOKOR1000-6		Finland	1995	34	
1022	IOKOR1026-5		Finland	1995	6A	
1023	IOKOR1029-9		Finland	1995	7	
1024	IOKOR1055-5		Finland	1995	6A	
1025	IOKOR1068-7		Finland	1995	19A	
1026	IOKOR1113-9		Finland	1995	19F	
1027	IOKOR1133-6		Finland	1995	19F	
1028	IOKOR1136-9		Finland	1995	19F	
1029	IOKOR1173-7		Finland	1995	6A	
1030	IOKOR1271-5		Finland	1995	35	
1031	IOKOR1277-3		Finland	1995	6A	
1032	IOKOR1302-9		Finland	1995	6B	
1033	IOKOR1373-9		Finland	1995	6A	
1034	IOKOR1531-4		Finland	1996	22	
1035	IOKOR1546-6		Finland	1996	6B	
1036	IOKOR1684-0		Finland	1996	10	
1037	IOKOR1685-3		Finland	1996	28	
1038	IOKOR1785-9		Finland	1996	6B	
1039	IOKOR1902-3		Finland	1996	18C	
1040	IOKOR2019-7		Finland	1996	6B	
1041	IOKOR217-1		Finland	1994	35	
1042	IOKOR239-0		Finland	1994	6A	
1043	IOKOR255-9		Finland	1994	11A	
1044	IOKOR262-4		Finland	1994	6A	
1045	IOKOR293-1		Finland	1995	6B	
1046	IOKOR315-5		Finland	1995	6A	
1047	IOKOR348-3		Finland	1995	23F	
1048	IOKOR400-9		Finland	1995	3	
1049	IOKOR438-0		Finland	1995	6B	
1050	IOKOR1462-9		Finland	1996	23F	
1051	IOKOR492-3		Finland	1995	R	
1052	IOKOR511-5		Finland	1995	11A	
1053	IOKOR513-6		Finland	1995	6B	
1054	IOKOR625-1		Finland	1995	11A	
1055	IOKOR627-0		Finland	1995	6A	
1056	IOKOR678-6		Finland	1995	11A	
1057	IOKOR681-2		Finland	1995	6A	
1058	IOKOR706-5		Finland	1995	23F	
1059	IOKOR746-8		Finland	1995	6A	
1060	IOKOR785-2		Finland	1995	9N	
1061	IOKOR801-2		Finland	1995	6A	
1062	IOKOR818-9		Finland	1995	R	
1063	IOKOR819-3		Finland	1995	22	
1064	IOKOR820-4		Finland	1995	7	
1065	IOKOR850-8		Finland	1995	6B	
1066	IOKOR854-1		Finland	1995	19F	
1067	IOKOR876-6		Finland	1995	23A	
1068	IOKOR880-6		Finland	1995	9N	
1069	IOKOR895-5		Finland	1995	19F	
1070	IOKOR896-1		Finland	1995	35	
1071	IOKOR99-8		Finland	1994	22	
1072	IOKOR1088-0		Finland	1995	6A	
1073	IOKOR1139-7		Finland	1995	20	
1074	IOKOR1317-7		Finland	1995	22	
1075	IOKOR1355-0		Finland	1995	6A	
1076	IOKOR1453-0		Finland	1995	31	
1077	IOKOR1492-1		Finland	1996	19F	
1078	IOKOR1617-3		Finland	1996	23F	
1079	IOKOR1639-4		Finland	1996	19F	
1080	IOKOR1711-4		Finland	1996	6B	
1081	IOKOR1870-6		Finland	1996	6A	
1082	IOKOR2156-5		Finland	1996	14	
1083	IOKOR2201-1		Finland	1996	19A	
1084	IOKOR442-8		Finland	1995	19F	
1085	IOKOR541-3		Finland	1995	18C	
1086	IOKOR618-1		Finland	1995	6A	
1087	IOKOR764-3		Finland	1995	14	
1088	IOKOR833-4		Finland	1995	19F	
1089	IOKOR90-9		Finland	1994	28	
1090	IOKOR76-8		Finland	1994	34	
1091	CHW6		Australia	2000	14	
1092	CHW7		Australia	2000	23F	
1093	CHW8		Australia	2000	6B	
1094	SME 516		Sweden	1997	6B	
1095	SME 523		Sweden	1997	14	
1096	SME 337		Sweden	1997	14	
1097	SME 923		Sweden	1997	19F	
1098	SME 70		Sweden	1997	19F	
1099	SP4499		USA	2012	22F	
1100	163		Brazil	2002	23F	
1101	290		Brazil	2002	23F	
